event,file,record,day,utc,counts_total,SWEAP_Start,solar_distance_Rs,peak_channel,peak_measure,peak_residual_r,counts_lag_ms,V2_raw_envelope_r0,V2_residual_envelope_r0,V2_residual_signed_r0,V5_raw_envelope_r0,V5_residual_envelope_r0,V5_residual_signed_r0,V1V2_raw_envelope_r0,V1V2_residual_envelope_r0,V1V2_residual_signed_r0,V3V4_raw_envelope_r0,V3V4_residual_envelope_r0,V3V4_residual_signed_r0
1528,psp_fld_l2_tds_wf_20250318_v00.cdf,0,20250318,2025-03-18T00:48:21.773221000,3285,0.8512843251228333,53.857615351444586,V5,envelope,0.21653346537881846,0.26666666666666666,-0.11058477578142871,-0.09023029187094592,0.05538522165595515,0.0903435926667207,0.080958682927954,0.03190218117473014,-0.11094424525606161,-0.08765606468088996,-0.0015237900207318578,-0.09063075129666213,-0.0685438763103916,0.013288598878446908
1529,psp_fld_l2_tds_wf_20250318_v00.cdf,1,20250318,2025-03-18T01:08:24.051004000,616,0.7592001557350159,53.75418140002875,V1V2,signed_mean,0.387169018218334,0.13333333333333333,-0.14377185642710777,-0.28686120460782083,-0.19147966498612978,-0.01908990822679167,0.0043866051117775265,0.10402882078840998,-0.16455093841007157,-0.29004558847181705,0.34263716992501114,-0.18132948414639705,-0.28214611868885675,-0.1622044127893135
1530,psp_fld_l2_tds_wf_20250318_v00.cdf,2,20250318,2025-03-18T01:08:25.774668000,34,0.735297441482544,53.75400891188731,V2,signed_mean,-0.22375021095037223,1.0,-0.11746018458381706,-0.13596237193969374,-0.10495643321917114,0.03928145244963675,-0.061858173528777906,0.023428183913369052,-0.03930603492154969,0.0764099697143642,0.00941636233651582,-0.057557607337394796,0.11920507187120076,0.05459610532056203
2059,psp_fld_l2_tds_wf_20250304_v00.cdf,0,20250304,2025-03-04T18:51:33.866149000,76,0.5411041975021362,118.55296823343396,V3V4,signed_mean,-0.21123683063924878,-0.3333333333333333,-0.01562752550565597,-0.1097716287494332,-0.15378620646941396,0.11227208889371747,0.12717287646574907,-0.020759942445232313,-0.010198734648480336,-0.10727300610603598,0.09222097777044157,-0.0074965165376162,-0.10851631144278587,-0.14937441698337475
2060,psp_fld_l2_tds_wf_20250304_v00.cdf,1,20250304,2025-03-04T18:51:33.934538000,1754,0.6094838976860046,118.55296823343396,V3V4,envelope,0.4093638919764056,-1.0,0.13617225509306072,0.10695306463163014,-0.023419402269570802,-0.04098507411157454,-0.026541848674420682,-0.12332928635001282,0.11545970480540979,0.08528459985361796,-0.006080711588416637,0.20715220265077755,0.1827054272263298,0.11149787193633048
2061,psp_fld_l2_tds_wf_20250304_v00.cdf,2,20250304,2025-03-04T18:51:34.148238000,1988,0.8231854438781738,118.5529308610033,V3V4,signed_mean,-0.19830633862565805,-0.5333333333333333,0.10659695645876804,0.032113696419863176,-0.05650689439186128,-0.0035577579266371506,-0.012942807870212885,-0.04017471302457597,0.10689706748673763,0.03557856517661106,0.04391011156677082,0.10788674229413177,0.020494837173981793,-0.09313553934022543
2062,psp_fld_l2_tds_wf_20250304_v00.cdf,3,20250304,2025-03-04T18:51:34.539870000,226,0.34103724360466003,118.5529308610033,V3V4,signed_mean,-0.21790185315033747,0.5333333333333333,0.10215686611658092,0.07941799403178415,0.025812958040050616,0.12065858980842264,0.10054508288592788,-0.02047725486777729,0.09859087131257399,0.07673102484826559,-0.02602628864732704,0.0975595273799501,0.0780261149424392,-0.014031286840216603
2063,psp_fld_l2_tds_wf_20250304_v00.cdf,4,20250304,2025-03-04T18:51:34.817321000,1729,0.6184976696968079,118.5529308610033,V3V4,envelope,-0.3356719559703306,-1.0666666666666667,-0.23173284236721559,-0.22366155404340596,0.13480788921366513,0.08186289882837773,0.09158157423900257,0.10159742445750213,-0.20938409944996744,-0.20554954288048566,-0.12022238733793628,-0.23846184092290917,-0.20936644209125801,0.08041809154316151
2065,psp_fld_l2_tds_wf_20250304_v00.cdf,6,20250304,2025-03-04T18:51:35.081588000,55,0.008977551944553852,118.5529308610033,V3V4,signed_mean,-0.28973985677846753,-0.8,-0.07380267526212565,0.12126530570565956,-0.10275619469415846,0.08243817181689325,0.08790700929364226,-0.019680658949283808,-0.08674209978275255,0.10188926714674663,0.19202541927867212,-0.06746698889275468,0.15116640399864859,-0.19920197171370652
2067,psp_fld_l2_tds_wf_20250304_v00.cdf,8,20250304,2025-03-04T21:20:35.712109000,532,0.642837643623352,118.21617651286473,V2,signed_mean,0.1898547559193406,0.4,-0.013432573496454641,0.004800597501062313,0.12155423637362499,0.03516301791761618,0.06240785273226704,-0.015128020539060427,0.35292459894318867,0.009313289634844313,-0.0072139449486566636,-0.014532512471553297,0.04393260379967969,0.07520285666786788
2070,psp_fld_l2_tds_wf_20250304_v00.cdf,11,20250304,2025-03-04T21:20:37.389538000,572,0.5724521279335022,118.21610033060227,V1V2,envelope,0.20911976782479597,-0.2,0.09182398931660982,0.12520364887267182,-0.003498691204723424,0.04727948781633688,0.02110160171811306,-0.07524909179497881,0.10001025035076883,0.1748832503305817,-0.07829229024776832,0.01776235501721507,0.14645685651539533,-0.024188950227789784
2071,psp_fld_l2_tds_wf_20250304_v00.cdf,12,20250304,2025-03-04T21:20:37.638363000,1980,0.8212771415710449,118.21610033060227,V1V2,envelope,-0.3613141425428812,0.0,0.03192340838313359,0.0021165939527607487,-0.06057790138314624,0.0677300363988734,0.06836521624643088,0.10616335125702542,-0.39616454718871663,-0.3613141425428812,0.07769620033910467,-0.37516407209651426,-0.33643923196417724,0.06401391925806688
2074,psp_fld_l2_tds_wf_20250304_v00.cdf,15,20250304,2025-03-04T21:20:40.317121000,114,0.004917552229017019,118.21598677590916,V2,envelope,0.2512503790189373,0.3333333333333333,-0.13931948461120364,0.1418518215848978,0.021200737238194385,0.03640491877589608,0.06419401287882513,-0.10924072738716706,-0.13972201100470594,0.16747285936702713,-0.03146030195369383,-0.1631671280252965,0.19717903268173376,0.09318730501878628
2076,psp_fld_l2_tds_wf_20250304_v00.cdf,17,20250304,2025-03-04T21:20:41.806928000,1540,0.6209521293640137,118.2159494034785,V2,envelope,0.4536395489320045,0.8666666666666666,0.323127759766285,0.3184967577877299,0.29796883954459763,0.049535766006707074,0.07045232217848174,-0.17706394226112027,0.3736477384572743,0.3639456497163537,0.0710042576130901,0.340097287661853,0.33912636838073373,-0.287000921869173
2077,psp_fld_l2_tds_wf_20250304_v00.cdf,18,20250304,2025-03-04T21:20:42.026075000,1552,0.8401015996932983,118.2159494034785,V3V4,signed_mean,0.18362840971377117,0.0,0.24184488349132355,-0.008682088082954587,-0.08990450637680067,0.10944233342603218,0.12677118541966265,-0.05067374609138578,0.10622563606012136,-0.048329303284959324,-0.03608249109439731,0.09866953999783168,-0.06960203749613597,0.18362840971377117
2080,psp_fld_l2_tds_wf_20250304_v00.cdf,21,20250304,2025-03-04T21:20:43.329847000,1961,0.39607077836990356,118.21587465861722,V2,envelope,-0.2958238848289765,0.0,-0.5263028828120593,-0.2958238848289765,0.026991350983071677,-0.04420636917861864,-0.05905967103484598,0.05559992210281732,-0.27241490720982936,-0.12484597730230793,0.03179723172245237,-0.3957873050126087,-0.17027526627567924,0.007844334270397452
2081,psp_fld_l2_tds_wf_20250304_v00.cdf,22,20250304,2025-03-04T21:20:43.712034000,204,0.7782504558563232,118.21587465861722,V5,envelope,0.14893278585748265,-0.26666666666666666,-0.07135863724169776,0.029019200378721705,-0.012129294309711394,-0.0053422776111309665,-0.001563065258209772,-0.12908269015753382,-0.03635938140100198,0.035500396393815144,0.020871092273368565,-0.13801191161152468,-0.029601360634238717,0.029988024095162158
2083,psp_fld_l2_tds_wf_20250304_v00.cdf,24,20250304,2025-03-04T21:20:43.923704000,121,0.11614390462636948,118.21587465861722,V2,envelope,-0.17828400976460945,-1.0666666666666667,0.04123139403177398,0.01634625586429974,0.07410251225645512,-0.07624386522370265,-0.08547896464775298,-0.15999298854299515,0.06699421431840841,0.05939088581902589,-0.03956606761423167,0.06301624243846855,0.04144474498890776,0.10557192338620244
