event,V2__log_crest,V2__log_kurtosis,V2__signed_asymmetry,V2__energy_width,V2__energy_asymmetry,V2__envelope_occupancy,V2__top1pct_energy,V2__zero_crossing,V2__autocorr_peak,V2__spectral_entropy,V2__log_f50,V2__log_bandwidth,V2__spectral_peak3,V4__log_crest,V4__log_kurtosis,V4__signed_asymmetry,V4__energy_width,V4__energy_asymmetry,V4__envelope_occupancy,V4__top1pct_energy,V4__zero_crossing,V4__autocorr_peak,V4__spectral_entropy,V4__log_f50,V4__log_bandwidth,V4__spectral_peak3,V1V2__log_crest,V1V2__log_kurtosis,V1V2__signed_asymmetry,V1V2__energy_width,V1V2__energy_asymmetry,V1V2__envelope_occupancy,V1V2__top1pct_energy,V1V2__zero_crossing,V1V2__autocorr_peak,V1V2__spectral_entropy,V1V2__log_f50,V1V2__log_bandwidth,V1V2__spectral_peak3,V3V4__log_crest,V3V4__log_kurtosis,V3V4__signed_asymmetry,V3V4__energy_width,V3V4__energy_asymmetry,V3V4__envelope_occupancy,V3V4__top1pct_energy,V3V4__zero_crossing,V3V4__autocorr_peak,V3V4__spectral_entropy,V3V4__log_f50,V3V4__log_bandwidth,V3V4__spectral_peak3,SCM5__log_crest,SCM5__log_kurtosis,SCM5__signed_asymmetry,SCM5__energy_width,SCM5__energy_asymmetry,SCM5__envelope_occupancy,SCM5__top1pct_energy,SCM5__zero_crossing,SCM5__autocorr_peak,SCM5__spectral_entropy,SCM5__log_f50,SCM5__log_bandwidth,SCM5__spectral_peak3,pair_V2_V4__abs_corr,pair_V2_V4__env_corr,pair_V2_V1V2__abs_corr,pair_V2_V1V2__env_corr,pair_V2_V3V4__abs_corr,pair_V2_V3V4__env_corr,pair_V2_SCM5__abs_corr,pair_V2_SCM5__env_corr,pair_V4_V1V2__abs_corr,pair_V4_V1V2__env_corr,pair_V4_V3V4__abs_corr,pair_V4_V3V4__env_corr,pair_V4_SCM5__abs_corr,pair_V4_SCM5__env_corr,pair_V1V2_V3V4__abs_corr,pair_V1V2_V3V4__env_corr,pair_V1V2_SCM5__abs_corr,pair_V1V2_SCM5__env_corr,pair_V3V4_SCM5__abs_corr,pair_V3V4_SCM5__env_corr,pair_V2_V4__coherence,pair_V1V2_V3V4__coherence,pair_V1V2_SCM5__coherence,pair_V3V4_SCM5__coherence,V2__log_rms,V4__log_rms,V1V2__log_rms,V3V4__log_rms,SCM5__log_rms
0,1.0778013167353753,1.9699405132791592,-0.2842310326071005,0.07214694073305494,0.9122904687014901,0.0078125,0.8314898413497656,0.05331583605456709,0.10903511645119425,0.3235609085775604,3.1598850233056575,3.7926288506441748,0.4978910047270514,1.033305506623782,1.8876900052257388,-0.25731257143752,0.06795666032541109,0.8863944709454408,0.0078125,0.7624967748757672,0.060060426648762474,0.151731460534729,0.31095537626667547,3.188853950627335,3.7301036754435692,0.5555079266441981,1.0218501975886745,1.5977108290441544,0.18807806841226654,0.07699206992427449,0.7911880694806483,0.0078125,0.5230426180287511,0.1478011413922544,0.1055640631994674,0.2942381665826696,2.9786295473129405,3.8018575053113084,0.6216954274737294,1.263997501118056,1.9508131845491221,-0.17779528486787097,0.06942479988409762,0.20826994682425598,0.0390625,0.5392862416967542,0.0565507980590228,0.1405671648186061,0.45635087295905064,3.4913690346381556,4.327250305595459,0.3731865425111484,0.34005465401417584,0.218287323448348,0.11799781082016401,0.9004310938034317,-0.035621591259892914,1.0,0.03388158478208782,0.1554612872707297,0.9728567532634587,0.16291253154944216,5.175443724432709,3.100057873220439,0.949376613401395,0.939854537277246,0.964313499419477,0.8058302690148913,0.8757029034449306,0.09669534715618673,0.6715267143326635,0.00034103163017557974,0.048983586748332496,0.7195121358200138,0.8251623183211104,0.20995885352928395,0.7094262867321152,0.0008262202099374483,0.0463410935577205,0.26524229903467744,0.745284253963986,7.694037603503737e-05,0.03218820822422833,0.0037933769309269555,0.06656648905669635,0.954825618508565,0.3947865712353739,0.18189435091775638,0.1434049263354324,1.9625727673496256,2.0064207878756757,1.589269245071622,1.6816322147574478,-0.6778951254323954
1,1.2413669200231296,2.2766660748586767,-0.22815601384716433,0.011938986238230113,0.6845030423850066,0.0078125,0.9325851191717681,0.09176915799432356,0.008575750358342463,0.3769614193217304,3.4830018853989135,3.8706246005919343,0.30668501828522565,1.1775772378891936,2.20507519757829,-0.16640749351075418,0.008607707016484103,0.5371561339260722,0.015625,0.974101119296059,0.07300027466658529,0.010613928176661614,0.4234241586894945,3.6587433132218794,3.995408561071436,0.22413404076584603,1.189825116687912,2.0805608574151764,0.23749177941853736,0.024909433234095706,0.8094948989105251,0.015625,0.8153761787436047,0.2684102908413953,0.011009141879372282,0.3292302082400615,3.190228744269189,3.853100787308805,0.511878559901362,1.1615805787646885,2.161198882624546,-0.05492223207527385,0.007351982537771905,0.05965502100290474,0.015625,0.9654592122572865,0.21982482375560777,0.013168994362409415,0.4351782173355222,3.7425212873225697,4.041172347430353,0.19474924766042223,0.37224153334111876,0.35958614867100464,-0.6338947434992405,0.9018986902826578,0.003961397285532513,1.0,0.04386874490470407,0.15576647236548968,0.9769931907730425,0.17907274660161687,5.175492200648416,5.177505551263948,0.9094737483241557,0.7388922916517218,0.9653169466874515,0.7329791922960097,0.943979674603506,0.20732615109838423,0.937814195984337,0.003300203305033997,0.004241898461779238,0.29989744037663246,0.9168822568257581,0.7852889867517683,0.9814196081320226,0.0016609303262714037,-0.020019405679312922,0.1250410811422356,0.925399528468418,0.003270090552253324,0.006434910806978318,0.00017242473105690088,-0.0377494668854569,0.9969983174133963,0.9850325780444977,0.3369856099540469,0.141740519828433,1.7267970946326217,1.861897218694098,1.1934270025965652,1.7717274377646512,-0.617672476747575
2,0.6045991620458401,0.44113393975854925,-0.1320703958233931,0.8485000372958619,0.20526568286190638,0.5,0.08118266587451288,0.2522965178380688,0.6164032889669582,0.3441273918134206,2.731422085863442,5.953557288784187,0.6749536258909643,0.6659855290994299,0.4742757370388596,0.1328354147617606,0.8702963773817461,0.19768552966481742,0.3828125,0.08422005942616999,0.2437208166753136,0.5898035237235739,0.35636538663505485,2.866512219830836,5.953468114274901,0.7031685993411453,0.7060657075519368,0.6321089160667561,-0.015041868267720353,0.7815160927643775,0.32542129896827426,0.390625,0.11839413229270876,0.4792321543015839,0.8657649981729335,0.5507637217510364,5.948893269186099,5.956810386875196,0.2328277965525789,0.7610235575313187,0.6966497904049053,0.08149226639057663,0.6629945693800562,0.2455309345305571,0.28125,0.13487079054803242,0.5726187932981354,0.8451837732962568,0.5721197984158024,5.949524667834846,5.956851229194238,0.17317381108737123,0.4068910501916072,0.4012527622165632,0.6024971098265798,0.9026808654083857,-0.041577032566171915,1.0,0.051404766164318584,0.15622425000762963,0.9629775969110448,0.2022296169850413,5.1755131109573975,5.17772380979549,0.8787682817339862,0.8418431167377134,0.7767295918817364,0.6558502983981152,0.46735228955952546,0.6094417915609933,0.559707311941897,0.04073431562977195,-0.08704385836821946,0.4529630718162754,0.391090615873457,0.6446313215305898,0.5646553506298568,0.04136982933674095,-0.08281624894375327,0.8697541940607098,0.9241717621829754,0.010130613016998231,-0.3489163307484958,0.061110385078059874,-0.3756486737716953,0.8363689921620914,0.9115435081719703,0.5861561931589223,0.7740409640300172,0.14273672969189558,0.11587662894421136,0.30047609772041617,0.276352171495816,-0.7514998859334499
3,0.5772390665122568,0.41271574720179827,-0.31383002626676243,0.814161485676724,-0.014234061982904004,0.4375,0.07525960705041683,0.2084719382305368,0.6926675914669068,0.3231769236854971,2.670941280735775,5.950037121025392,0.7351525978014862,0.5887049102410854,0.45028367328753366,-0.010237899219761048,0.8436057758392185,0.04549506699986879,0.46875,0.08241536072377031,0.21671193578905606,0.6238126586300236,0.3881201588387648,2.883684140671814,5.950490438441139,0.6926568065260251,0.7392783501039611,0.6590129013548071,0.02623555111429205,0.7139616410642057,-0.09764751412377815,0.328125,0.13200455010516693,0.4000061037018952,0.7239042899396826,0.5836310297452993,5.935743721258948,5.9531836325689245,0.285776487799081,0.7972858295000772,0.7789559872466074,0.043707054042071765,0.5680083935402203,-0.142220539640692,0.28125,0.1557253938324024,0.5215613269447921,0.6932212982133622,0.6405925037359038,5.942997496818969,5.953231681198614,0.1534958776034552,0.40316398065234993,0.3776407305872603,0.5719353087911415,0.8980805947617541,-0.015571048629206833,1.0,0.04909063126999729,0.15591906491286966,0.9692034940730065,0.19313255504645518,5.175510924616256,5.177664434524224,0.8856695739943834,0.8258064295043709,0.7591513575971623,0.6716888122133232,0.3961736573829976,0.6044192630022857,0.5097111566834687,0.05074791042881904,0.013111879341649015,0.44525859291808706,0.40232332824661227,0.6401844527682143,0.5925088180621307,0.041717819282238666,-0.0025138300622414805,0.8426939941506308,0.9045062984267711,0.006446935479076744,-0.11333859608365626,0.06586444579629214,-0.09613464989049299,0.8179478289442723,0.8960908853136816,0.6237141890759894,0.7846856670086321,0.14603743845270795,0.0721992464593736,0.2435418317867752,0.19358938846333645,-0.7058980816345855
4,0.6321081921304958,0.4905383645667849,-0.3825722064238881,0.8633573261883974,0.051677603555203996,0.203125,0.10399856243671078,0.141056550798059,0.7025750890303646,0.2805797762072957,2.670941280735775,5.945496053607325,0.7553858105171491,0.7849992876346948,0.6723152522122189,-0.15319106854016992,0.8757721211422007,-0.039109665912323795,0.03125,0.15391023496715361,0.1141697439497055,0.6025203101275485,0.3269834457828442,2.8579267262119687,5.940926151047386,0.7316243092330557,0.8858110907411857,0.9683405984163743,0.13446210581400186,0.7653246156577259,0.022626341505421952,0.046875,0.24018807496223088,0.23728141117587817,0.9416235913031463,0.4309795912188452,5.941119456531345,5.9463608974831255,0.41152387305077726,0.901118890331326,0.9493921842330553,0.12289471589056374,0.8415064930219023,0.05748579405462175,0.0625,0.23048338313250977,0.28312021240882596,0.8968333800060648,0.5010331868641309,5.939399558073709,5.9461963824558834,0.35378458569898746,0.3759671583347576,0.3376996397524982,0.45676616312503554,0.9035210119248477,-0.013558180344712298,1.0,0.04367349527016132,0.15576647236548968,0.9741662674173026,0.18434190762719202,5.175510129500051,5.177650155181899,0.8950212614927342,0.8107818727561625,0.7353254607214798,0.6402636465730471,0.3650284146901579,0.6592699585234686,0.6290887010425255,0.06484647668896633,-0.13310893190322903,0.35210930673734475,0.058707808894810004,0.6910536345891548,0.45108581063970127,0.03813527052415338,-0.12415518259466067,0.7313024368078649,0.7923675258562771,0.002854535475917167,-0.0019049089057030049,0.07052530673278294,-0.03280276694189584,0.8238584219015856,0.7884596674528189,0.6862609758049694,0.8104100445375965,0.16435284972059494,0.08943231792238704,0.18623227287521144,-0.02151809761769583,-0.6481419498951764
5,0.8970567253016553,1.0903265185922857,-0.12293168761446258,0.39399069131154546,-0.08701487236547592,0.09375,0.26408323230001335,0.3131199072237312,0.7306016334575384,0.6149112519250588,5.958758255719166,5.965186085749943,0.1474987079751603,0.8995996079384123,1.0617802331535615,-0.08095017809974968,0.5063632988489131,-0.25142487759084714,0.078125,0.26306712160472806,0.22470778527176732,0.7878399728000067,0.581012002581272,5.961187091136455,5.965303977508951,0.2122059096490688,0.9152862050083618,1.1699063765932018,0.05901720613367894,0.22222822303325396,0.5375989337848595,0.09375,0.2930616602739302,0.44715720084231086,0.697238274841759,0.6163246173349469,5.960651739909001,4.952744268632074,0.14606136699400113,0.9337484983979534,1.2319564622706785,0.012034022004814406,0.2168344925079023,0.5214464008203379,0.078125,0.3273353334879555,0.40055543687246314,0.7283309226922391,0.5914619108314301,5.961917015174836,4.903591396175686,0.17544932357154758,0.4113141388401885,0.41234892876895596,-0.6071846714380786,0.8992249441579515,-0.0016873521275330733,1.0,0.05162224426052698,0.15494247260963775,0.9710271582211352,0.19201719691585117,5.1755073843013415,5.177692735218454,0.8886058496898916,0.482103259558337,0.9626851195679841,0.8013878889528666,0.9704941269967129,0.7340108239282263,0.9649030338413519,0.038565180355561814,-0.037877431328285166,0.7868066989835308,0.936121738333253,0.8945667908790509,0.9558468960734016,0.011239476157603342,-0.027230076077135203,0.9473641188869458,0.9851374875817915,0.008013208923072458,-0.044337843267729514,0.004102226186878854,-0.05570212299092165,0.9657317651348027,0.975389710695417,0.564013178668329,0.6556212369326315,0.581322377722516,0.5265868800950491,0.7773393266257614,0.8118519461115683,-0.6932196224293539
6,0.556136564696733,0.44132854173077396,0.4215282527766502,0.8914966502883191,-0.11214249567292794,0.25,0.07446445484485943,0.14401684621723074,0.7519041741583343,0.25064004122241357,2.670941280735775,5.945511805613024,0.8342493822104416,0.6131927990446124,0.5028001513809326,0.23982396220103303,0.888147339577307,-0.1192597248183772,0.1953125,0.09100724106941664,0.1390118106631672,0.6118922652818787,0.32127539582581277,2.8712131892476167,5.953212907351012,0.7715806826976971,0.7917523302664458,0.7114904527595391,-0.045674450549223346,0.7979232965843513,-0.04936379371114761,0.25,0.15687548980382465,0.2520523697622608,0.451251988582935,0.4775489492078022,5.874931751491488,5.954299486539318,0.44444438198366154,0.8815300382658671,1.01506384033394,0.03999315565964172,0.5157284437733098,0.09095535828031298,0.1953125,0.2350597480278979,0.3165379802850429,0.8403964525126427,0.5731903565174665,5.9483863770235335,5.954895054150947,0.20127670134844083,0.39964571266061005,0.2825671154877519,-0.41045720487234066,0.897579962475651,-0.022308447634625746,1.0,0.04087829969869901,0.1563768425550096,0.9611661486812899,0.211768108028932,5.175532875313692,5.178087860746382,0.8596991996528411,0.6546358519718217,0.6306655043728021,0.47897827763116574,0.29285361031657,0.10583263242502873,0.2658961126249106,0.11670450876287099,0.057294067205492426,0.3913783146599796,0.3400404619683006,0.6288224722463124,0.5247825611410573,0.05754399217580568,0.002248551080761372,0.6251920535362248,0.7748146613597935,0.024553612288971273,-0.044535565374310734,0.011487389066420448,0.03829671785327904,0.6707532328841341,0.7415713367143426,0.6672981625303086,0.7431402067356354,0.14745981318587895,0.14143972956344258,0.15452424523284014,0.346392881605046,-0.7652165277510978
7,0.5165230539191498,0.3757890716905442,0.16668556424452335,0.8910387921134281,0.05319742554754178,0.3203125,0.06384954735764921,0.14477980895413067,0.6589337523249176,0.24936478665920847,2.670941280735775,5.943462840447624,0.8260641643713429,0.6242359223308528,0.5189700717947662,0.02342113610838809,0.8704177515086958,0.18888979973057987,0.640625,0.09171641393413345,0.5951109347819452,0.8008060428372683,0.5833606379294378,5.950524187467658,5.9607974310291825,0.24791873578360724,0.48532625107225696,0.3385090497655224,0.07395803696010585,0.8655350651888354,-0.138052293123727,0.46875,0.057014255243668106,0.1641590624713889,0.6857058905869448,0.2561855187849798,2.670941280735775,5.943589550149675,0.8373542607027791,0.6180813666447867,0.5120932850657062,0.022554212008946427,0.8741789126872336,0.15179835909228745,0.5078125,0.0922177717598335,0.7620777001251259,0.7643163164996534,0.6072236689445584,5.955384888400513,5.961289742043713,0.1425744159488585,0.4993102264112096,0.3961317539340843,-0.4344988233496813,0.9026200801511074,0.07871465810673986,1.0,0.06110928233296664,0.16977446821497238,0.9165468888813927,0.27496352249036066,5.175548471776629,5.17894260395869,0.7955445964476812,0.27474439523564087,0.5838305065679155,0.7761816256974249,0.329424436039727,0.012947308727682688,0.2292020297977373,0.05631166785014289,-0.0015615111737418968,0.23269060176717624,0.004982912374622755,0.8840092199725129,0.7811688528478391,0.0038949839495390215,0.01096323225578127,0.18558766722451403,0.1004080776321742,0.05380786394088444,0.0077862877887767,0.021994139321906744,-0.053538914401487905,0.7767992292322179,0.3876254533203738,0.6186030786961966,0.632687069836567,0.1253676557859956,0.3115673848955315,0.05124925001737464,0.47678491405626217,-0.9655858056431639
8,0.4672705695004403,0.31770745751343815,-0.06311255662327872,0.9263573604126871,-0.08501661267449977,0.5390625,0.05206503070149266,0.14526810510574664,0.7219624652645679,0.2580363711319506,2.670941280735775,5.943282186913855,0.8203296194341362,0.8166629983863104,0.6612234469102222,0.13113941318009434,0.8589032960595687,-0.11242833676775689,0.2265625,0.13458626143727737,0.6877346110415967,0.7885362195139106,0.631161336047262,5.944682553152898,5.958490683591402,0.1497202853981777,0.6350391057300161,0.4907336425581075,0.10253694386206966,0.8963002476381094,-0.09711524964604704,0.4765625,0.09501574906252883,0.3566087832270272,0.48903867276588037,0.4779121817420524,5.874760101585412,5.956945792869102,0.49265356691323137,0.7976761320950472,0.6873352885344778,-0.07329303667650029,0.8467518611990048,-0.10849927017233443,0.1796875,0.1406447146322489,0.8508865627002777,0.7655294156585736,0.6345672515277355,5.94540989411078,4.823439325597446,0.10383337025511215,0.5204982957954888,0.45039710890921275,-0.44160308111893704,0.8965129723532971,-0.011814643450692866,1.0,0.07071489980188428,0.18134098330637533,0.8794298858179912,0.3312981953496216,5.175614409685977,5.400375134658208,0.7112205738585238,0.14521275934473604,0.2312931724047747,0.604397145973245,0.28095829712440107,0.014346536318009044,0.0813145822825291,0.06063532253709394,-0.010857402555734584,0.6017118912904192,0.6516274798552854,0.937032690944672,0.9797561696792194,0.0015697654828989718,-0.1286381086606305,0.5826341359467523,0.6639949805583817,0.04802182973562187,-0.15400795105889345,0.012684118134870121,-0.13657731238309428,0.7650178351796124,0.729710402957835,0.5597767609842715,0.5311363423916304,0.14370869042018694,0.4935618174759561,0.11824550586103912,0.6825410297252369,-1.0538878366001183
9,0.5346862351617526,0.3625655223403499,-0.05644136454798659,0.89336514945098,0.12331458247304358,0.4140625,0.06082374327984958,0.12219611194189275,0.7464603819883983,0.21550690031287376,2.670941280735775,5.955046671675904,0.84915622964826,0.8037294004531581,0.8211610091315743,-0.11638837548181073,0.7724996754961116,0.043505302657078374,0.078125,0.18409005661824332,0.2945036164433729,0.9372211660015134,0.3797062540683211,5.954277179139217,5.95556784793639,0.5180958603279568,0.5868801985032124,0.4264338626792246,0.2172699736320896,0.8626301265017147,0.12017138461021017,0.4140625,0.0785248188692359,0.2272713400677511,0.6421931352277789,0.3292691603619538,2.7081041453154886,5.955219275138234,0.6896486917907045,0.8531968736396407,1.0371588472178417,0.10338982753625245,0.4337746135422241,-0.3711748064167415,0.0859375,0.2359222673128995,0.4524369029816584,0.9164216146193573,0.37952476367390214,5.955312047885085,5.955591994175266,0.571539831651683,0.5027314780005105,0.41731351798045746,-0.4796729642184277,0.8926957085125008,-0.10205758629955328,1.0,0.06596651888750991,0.18433179723502305,0.877693208720519,0.3286013428752061,5.175618937928297,5.246127770030732,0.7099392089718337,0.30884110259231073,0.5101070073748086,0.808510417943908,0.4761707437584728,0.05674562442726849,0.25085809581116764,0.06925064864239863,-0.05943369068046346,0.015578486187780599,0.2894311443101928,0.8783838491959858,0.9107977880543916,0.004129026265102745,-0.13214585689931324,0.21209123922673534,0.3166203486578208,0.025301704619426633,-0.15539463510383905,0.004958329785290041,-0.161980700972925,0.8292360501659187,0.7506645175212833,0.5433545024126241,0.6091310817316682,0.14526922250479804,0.2532085736685539,0.07781567524204785,0.38746285291149857,-1.0528267608415178
