event,file,record,utc,day,SC_TWTA_On_Flag,voltage,scm,native_r0,envelope_r0,envelope_peak_r,scm_lag_ms,weighted_coherence_raw,weighted_coherence_outside_lines,masked_cross_spectral_weight_fraction,scm_power_remaining_fraction,peak_coherence_outside_lines,peak_coherence_frequency_hz,longest_coherent_run_hz,flags
2,psp_fld_l2_tds_wf_20250322_v00.cdf,2,2025-03-22T01:09:27.461982000,20250322,0,V2,SCM5,-0.04073431562977198,-0.07925713515038511,-0.20816440522281043,-1.0666666666666667,0.8672464484640512,0.06647245203206885,0.8807348863562486,0.022953065158000233,0.3796039602952912,781875.0,0.0,persistent-line dominated coherence
2,psp_fld_l2_tds_wf_20250322_v00.cdf,2,2025-03-22T01:09:27.461982000,20250322,0,V4,SCM5,-0.041369829336740924,-0.06826652630157017,-0.2000175021043704,-1.0666666666666667,0.7239593841050547,0.06863996341063458,0.7571843839128347,0.02261455183060157,0.35753208019318455,376875.0,0.0,no threshold crossed
2,psp_fld_l2_tds_wf_20250322_v00.cdf,2,2025-03-22T01:09:27.461982000,20250322,0,V1V2,SCM5,-0.010130613016998292,-0.30666361408888476,-0.4040893162779369,-0.6,0.6308521651242216,0.07089212825618775,0.6872261000891793,0.023036215569466452,0.3740604880476343,431250.0,0.0,no threshold crossed
2,psp_fld_l2_tds_wf_20250322_v00.cdf,2,2025-03-22T01:09:27.461982000,20250322,0,V3V4,SCM5,0.06111038507805975,-0.3289290389856636,-0.39311865834414,-0.8,0.804543467087997,0.07319605168460591,0.8279205352581164,0.02303884162734335,0.4411377941619476,495937.5,0.0,persistent-line dominated coherence
3,psp_fld_l2_tds_wf_20250322_v00.cdf,3,2025-03-22T01:09:27.485908000,20250322,0,V2,SCM5,-0.05074791042881905,0.019460812199146083,-0.10764663515727299,-0.3333333333333333,0.8737135421283188,0.07020696649095075,0.8843549643748466,0.018165223010425727,0.42450882140826895,404531.25,0.0,persistent-line dominated coherence
3,psp_fld_l2_tds_wf_20250322_v00.cdf,3,2025-03-22T01:09:27.485908000,20250322,0,V4,SCM5,-0.041717819282238625,0.017436704074490383,-0.12961939430416378,-0.4,0.7274961161965664,0.07028924953303914,0.7578822961429748,0.017941898051172897,0.41398540702822073,97031.25,0.0,no threshold crossed
3,psp_fld_l2_tds_wf_20250322_v00.cdf,3,2025-03-22T01:09:27.485908000,20250322,0,V1V2,SCM5,-0.006446935479076744,-0.08164766185753301,-0.21872149408414482,-0.26666666666666666,0.654139944845341,0.07106890723124018,0.6923166079271502,0.018226859879779678,0.4789011851556326,709218.75,0.0,no threshold crossed
3,psp_fld_l2_tds_wf_20250322_v00.cdf,3,2025-03-22T01:09:27.485908000,20250322,0,V3V4,SCM5,0.06586444579629207,-0.0638296923588489,-0.2055310948037566,-0.26666666666666666,0.8061135962429593,0.06847674503530929,0.8245538977895307,0.018229175415089467,0.4441347033066821,704062.5,0.0,persistent-line dominated coherence
4,psp_fld_l2_tds_wf_20250322_v00.cdf,4,2025-03-22T01:09:27.543494000,20250322,0,V2,SCM5,-0.0648464766889664,-0.1031504571780905,-0.13760338997248747,0.4666666666666667,0.8808424284571738,0.06987055625425047,0.8917105513136419,0.01343795283407407,0.4374506508256132,460781.25,0.0,persistent-line dominated coherence
4,psp_fld_l2_tds_wf_20250322_v00.cdf,4,2025-03-22T01:09:27.543494000,20250322,0,V4,SCM5,-0.03813527052415332,-0.09329321703285517,-0.16602412236204042,0.4666666666666667,0.7081704870786976,0.0671966298581823,0.7421927175780507,0.013291911204645504,0.43526125977190305,208125.0,0.0,no threshold crossed
4,psp_fld_l2_tds_wf_20250322_v00.cdf,4,2025-03-22T01:09:27.543494000,20250322,0,V1V2,SCM5,0.0028545354759171664,0.002347695518149423,-0.1566536037611309,-0.6,0.7106679596430364,0.07042005687889792,0.7570418129123485,0.013490494777843342,0.35395761503722667,808593.75,0.0,no threshold crossed
4,psp_fld_l2_tds_wf_20250322_v00.cdf,4,2025-03-22T01:09:27.543494000,20250322,0,V3V4,SCM5,0.07052530673278291,-0.012152947066993863,-0.08400707723877628,-1.0666666666666667,0.8211749413999774,0.0720225150149747,0.845070133281186,0.013492499157673936,0.43974426622718876,401718.75,0.0,persistent-line dominated coherence
5,psp_fld_l2_tds_wf_20250322_v00.cdf,5,2025-03-22T01:10:20.958193000,20250322,0,V2,SCM5,-0.038565180355561876,-0.03634365193540835,0.09808192331998475,-0.8666666666666666,0.8351822832812843,0.07794741447209781,0.8420995339571145,0.017675538898505306,0.426284261779605,799218.75,0.0,persistent-line dominated coherence
5,psp_fld_l2_tds_wf_20250322_v00.cdf,5,2025-03-22T01:10:20.958193000,20250322,0,V4,SCM5,-0.011239476157603349,-0.017201155192683667,0.10184798463960054,-1.0666666666666667,0.5647842557249004,0.08049268680901918,0.5965225603235222,0.017444771215862114,0.5117538491554552,137343.75,0.0,no threshold crossed
5,psp_fld_l2_tds_wf_20250322_v00.cdf,5,2025-03-22T01:10:20.958193000,20250322,0,V1V2,SCM5,0.008013208923072484,-0.04547433067764524,0.0916244255372136,-1.0666666666666667,0.6563777118775841,0.07338691555758639,0.6828292477165553,0.017740794145672523,0.37305698508830637,565312.5,0.0,no threshold crossed
