peak_hz,fwhm_hz,fractional_bandwidth,left_hz,right_hz,peak_power_fraction,background_psd,peak_to_background,frequency_bin_hz,prominent_peak_count,flags,event,channel,utc,file,record,pc1,dust,saturated
937.5,,,,,,0.1545110312249946,23.76706031597091,468.75,0,band_edge_censored,0,V2,2025-03-22T00:25:32.148448000,psp_fld_l2_tds_wf_20250322_v00.cdf,0,3.177695220686273,True,True
1406.25,1947.7003974876495,1.3850313937689953,618.5795250781018,2566.2799225657513,0.6895285805812224,0.09784158468226087,55.42819007000421,468.75,1,,0,V4,2025-03-22T00:25:32.148448000,psp_fld_l2_tds_wf_20250322_v00.cdf,0,3.177695220686273,True,True
468.75,,,,,,0.022762163624583887,46.28773992730668,468.75,0,band_edge_censored,0,V1V2,2025-03-22T00:25:32.148448000,psp_fld_l2_tds_wf_20250322_v00.cdf,0,3.177695220686273,True,True
1406.25,1187.9528631154094,0.8447664804376245,793.527753516232,1981.4806166316414,0.31800266416891043,0.08313852055089725,11.229689087772005,468.75,1,,0,V3V4,2025-03-22T00:25:32.148448000,psp_fld_l2_tds_wf_20250322_v00.cdf,0,3.177695220686273,True,True
150000.0,624.8042144264036,0.004165361429509357,149688.64831628275,150313.45253070915,0.6329182156764663,3.0387301198946143e-09,19561.306394453575,468.75,1,resolution_limited; near_known_line_grid,0,SCM5,2025-03-22T00:25:32.148448000,psp_fld_l2_tds_wf_20250322_v00.cdf,0,3.177695220686273,True,True
2343.75,3335.560136520475,1.4231723249154027,1142.1533520039052,4477.71348852438,0.6236108267660642,0.13355966438038017,6.677507459368056,468.75,1,,1,V2,2025-03-22T00:58:18.253061000,psp_fld_l2_tds_wf_20250322_v00.cdf,1,3.2832807625998823,True,True
3281.25,4289.397388870904,1.3072449185130375,1965.2695921365118,6254.666981007416,0.5941448430789663,0.32494727843737636,3.7087089631453107,468.75,1,,1,V4,2025-03-22T00:58:18.253061000,psp_fld_l2_tds_wf_20250322_v00.cdf,1,3.2832807625998823,True,True
1406.25,1966.6586168202705,1.3985127941833035,478.11313824889993,2444.7717550691705,0.6324226585934353,0.005571694542459444,22.546068904941126,468.75,1,,1,V1V2,2025-03-22T00:58:18.253061000,psp_fld_l2_tds_wf_20250322_v00.cdf,1,3.2832807625998823,True,True
4218.75,4891.528149397989,1.1594733391165604,2436.5570097551476,7328.085159153137,0.5956044957876736,0.22833140056762452,3.020123219550944,468.75,1,,1,V3V4,2025-03-22T00:58:18.253061000,psp_fld_l2_tds_wf_20250322_v00.cdf,1,3.2832807625998823,True,True
150000.0,624.2102240773675,0.0041614014938491165,149688.47711220922,150312.6873362866,0.6063138172743007,2.9144596573400324e-09,23470.030700764837,468.75,1,resolution_limited; near_known_line_grid,1,SCM5,2025-03-22T00:58:18.253061000,psp_fld_l2_tds_wf_20250322_v00.cdf,1,3.2832807625998823,True,True
468.75,,,,,,6.409139203596743e-07,2668.2892190672765,468.75,0,band_edge_censored,2,V2,2025-03-22T01:09:27.461982000,psp_fld_l2_tds_wf_20250322_v00.cdf,2,0.27708068649326467,False,False
937.5,,,,,,9.85540118118935e-07,1150.0678934946918,468.75,0,band_edge_censored,2,V4,2025-03-22T01:09:27.461982000,psp_fld_l2_tds_wf_20250322_v00.cdf,2,0.27708068649326467,False,False
468.75,,,,,,2.74952219322608e-07,3854.8917225570017,468.75,0,band_edge_censored,2,V1V2,2025-03-22T01:09:27.461982000,psp_fld_l2_tds_wf_20250322_v00.cdf,2,0.27708068649326467,False,False
468.75,,,,,,3.758117145971607e-07,968.3224186854841,468.75,0,band_edge_censored,2,V3V4,2025-03-22T01:09:27.461982000,psp_fld_l2_tds_wf_20250322_v00.cdf,2,0.27708068649326467,False,False
150000.0,625.4905436811678,0.004169936957874452,149688.2063539412,150313.69689762237,0.5858375185829893,3.158282707448275e-09,11434.97763134557,468.75,1,resolution_limited; near_known_line_grid,2,SCM5,2025-03-22T01:09:27.461982000,psp_fld_l2_tds_wf_20250322_v00.cdf,2,0.27708068649326467,False,False
468.75,,,,,,5.350918647731482e-07,3530.2674895579203,468.75,0,band_edge_censored,3,V2,2025-03-22T01:09:27.485908000,psp_fld_l2_tds_wf_20250322_v00.cdf,3,0.27655448118438597,False,False
